time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-09 00:00:00+00:00,2.0,1.0,19,9
2025-11-10 00:00:00+00:00,7.0,4.0,22,5
2025-11-11 00:00:00+00:00,18.0,10.0,23,11
2025-11-12 00:00:00+00:00,8.0,3.0,2,1
2025-11-13 00:00:00+00:00,8.0,6.0,20,2
2025-11-14 00:00:00+00:00,22.0,12.0,18,3
2025-11-15 00:00:00+00:00,3.0,3.0,6,6
2025-11-16 00:00:00+00:00,3.0,3.0,5,1
2025-11-17 00:00:00+00:00,3.0,3.0,7,1
2025-11-18 00:00:00+00:00,66.0,14.0,8,4
2025-11-19 00:00:00+00:00,2.0,2.0,15,4
2025-11-20 00:00:00+00:00,42.0,12.0,146,17
2025-11-21 00:00:00+00:00,43.0,13.0,192,42
2025-11-22 00:00:00+00:00,40.0,16.0,188,15
2025-11-23 00:00:00+00:00,,,1,1
